Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Postal Code,City,State,Country,Market,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
18072,ES-2015-AB1016545-42351,2015-12-13,2015-12-18,Second Class,AB-1016545,Alan Barnes,Consumer,,Grenoble,Auvergne-Rhône-Alpes,France,Europe,TEC-PH-3148,Technology,Phones,"Apple Smart Phone, Full Size",1622.34,3,0.15,248.04,168.62,Medium
46814,NI-2015-AS22595-42350,2015-12-12,2015-12-16,Standard Class,AS-22595,Alan Schoenberger,Corporate,,Lagos,Lagos,Nigeria,Africa,TEC-PH-3818,Technology,Phones,"Cisco Speaker Phone, with Caller ID",41.54,1,0.7,-91.42,1.61,Medium
48666,NI-2015-AA64595-42309,2015-11-01,2015-11-03,Second Class,AA-64595,Anna Andreadi,Consumer,,Enugu,Enugu,Nigeria,Africa,TEC-AC-5221,Technology,Accessories,"Memorex Numeric Keypad, Erganomic",14.01,1,0.7,-25.23,1.96,Critical
28198,IN-2015-DK1309027-42308,2015-10-31,2015-11-03,First Class,DK-1309027,Dave Kipp,Consumer,,Xiangtan,Hunan,China,Asia Pacific,TEC-CO-3611,Technology,Copiers,"Brother Wireless Fax, Laser",2272.86,6,0.0,977.22,406.53,High
12441,IT-2015-TT2146064-42230,2015-08-14,2015-08-18,Standard Class,TT-2146064,Tonja Turnell,Home Office,,Como,Lombardy,Italy,Europe,TEC-MA-5008,Technology,Machines,"Konica Inkjet, Wireless",1316.45,7,0.4,-526.72,91.97,Medium
4992,MX-2015-LM1706531-42179,2015-06-24,2015-06-28,Standard Class,LM-1706531,Liz MacKendrick,Consumer,,Pinar del Río,Pinar del Río,Cuba,LATAM,TEC-AC-3380,Technology,Accessories,"Belkin Flash Drive, Programmable",202.72,7,0.0,3.92,21.375,High
14222,ES-2015-MP17470120-42101,2015-04-07,2015-04-11,Standard Class,MP-17470120,Mark Packer,Home Office,,Madrid,Madrid,Spain,Europe,TEC-MA-4999,Technology,Machines,"Konica Calculator, Red",175.61,4,0.1,56.57,18.91,High
47473,RO-2015-LA6780107-42063,2015-02-28,2015-03-02,Second Class,LA-6780107,Laura Armstrong,Corporate,,Lugoj,Timis,Romania,Europe,TEC-PH-3148,Technology,Phones,"Apple Smart Phone, Full Size",1272.42,2,0.0,356.22,87.08,Medium
13971,ES-2014-DK1283545-41974,2014-12-01,2014-12-05,Second Class,DK-1283545,Damala Kotsonis,Corporate,,Strasbourg,Alsace-Champagne-Ardenne-Lorraine,France,Europe,TEC-MA-4999,Technology,Machines,"Konica Calculator, Red",41.46,1,0.15,11.7,1.46,Medium
11770,ES-2014-SM2000591-41973,2014-11-30,2014-12-02,First Class,SM-2000591,Sally Matthias,Consumer,,Utrecht,Utrecht,Netherlands,Europe,TEC-MA-5503,Technology,Machines,"Okidata Inkjet, Wireless",628.44,4,0.5,-615.96,162.41,Critical
